date,pm25,pm10,o3,no2,so2,co
11/02/2023,201,70,17,14,0,7
12/02/2023,153,9,31,6,0,1
13/02/2023,22,15,24,11,0,2
14/02/2023,31,47,23,16,2,3
15/02/2023,89,79,14,27,1,6
16/02/2023,153,116,11,37,2,10
17/02/2023,194,103,31,25,1,9
18/02/2023,177,32,31,7,0,2
19/02/2023,24,23,28,8,0,1
20/02/2023,18,40,19,15,1,3
21/02/2023,67,77,15,28,2,6
22/02/2023,150,100,13,37,1,7
23/02/2023,173,37,29,17,0,4
24/02/2023,65,19,27,12,0,1
25/02/2023,35,78,36,20,2,5
26/02/2023,133,120,37,32,2,8
27/02/2023,190,60,35,19,1,4
28/02/2023,96,17,34,10,0,1
01/03/2023,19,53,31,19,1,3
02/03/2023,69,69,31,24,1,4
03/03/2023,108,131,40,32,6,13
04/03/2023,191,135,39,25,2,12
05/03/2023,211,123,49,23,1,9
06/03/2023,204,157,60,33,4,14
07/03/2023,237,101,47,21,1,7
08/03/2023,153,78,25,29,1,4
09/03/2023,117,324,30,24,1,5
10/03/2023,168,147,32,6,0,1
11/03/2023,63,50,33,4,0,1
12/03/2023,34,79,13,29,1,4
13/03/2023,104,132,34,19,2,5
14/03/2023,120,105,33,3,0,1
15/03/2023,64,50,29,13,0,2
16/03/2023,54,79,21,21,1,3
17/03/2023,120,32,37,14,0,2
18/03/2023,61,78,37,20,1,4
19/03/2023,131,106,37,26,2,7
20/03/2023,182,102,47,23,0,7
21/03/2023,181,530,34,9,0,3
22/03/2023,243,106,34,4,0,1
23/03/2023,100,62,28,9,1,1
24/03/2023,65,61,36,16,1,2
25/03/2023,81,54,37,12,0,1
26/03/2023,87,52,37,15,0,2
27/03/2023,70,95,50,24,3,7
28/03/2023,150,122,71,28,2,6
29/03/2023,173,112,83,21,2,4
30/03/2023,165,79,67,13,2,3
31/03/2023,136,72,62,13,2,3
01/10/2022,140,18,29,7,0,3
02/10/2022,49,11,19,6,1,2
03/10/2022,30,8,24,4,1,1
04/10/2022,14,24,24,9,0,1
05/10/2022,39,45,27,14,0,2
06/10/2022,75,68,36,16,1,5
07/10/2022,134,71,19,15,0,4
08/10/2022,151,9,26,3,1,1
09/10/2022,10,19,28,8,0,2
10/10/2022,21,33,25,17,0,4
11/10/2022,59,74,28,26,1,7
12/10/2022,135,95,33,29,1,7
13/10/2022,167,112,51,32,0,8
14/10/2022,180,117,67,27,0,8
15/10/2022,188,21,24,6,0,2
16/10/2022,32,22,21,7,0,1
17/10/2022,17,30,24,14,0,2
18/10/2022,43,68,26,22,1,6
19/10/2022,113,95,22,30,1,6
20/10/2022,165,107,49,29,1,7
21/10/2022,177,38,27,12,0,2
22/10/2022,53,27,26,15,0,2
23/10/2022,41,63,28,22,1,6
24/10/2022,99,107,36,30,2,8
25/10/2022,174,106,27,28,1,6
26/10/2022,167,20,15,10,1,1
27/10/2022,29,54,10,19,1,4
28/10/2022,69,65,19,17,1,6
29/10/2022,108,77,21,17,1,5
