date,pm25,pm10,o3,no2,so2,co
23/08/2021,80,21,41,6,0,3
24/08/2021,38,19,34,8,1,3
25/08/2021,24,19,36,6,1,3
26/08/2021,26,24,55,9,1,3
27/08/2021,38,27,40,11,1,3
28/08/2021,42,39,70,10,0,3
29/08/2021,62,51,76,17,0,5
30/08/2021,81,34,67,9,0,6
31/08/2021,71,38,74,14,0,6
01/09/2021,61,44,78,12,0,4
02/09/2021,72,54,96,11,0,6
03/09/2021,92,39,40,11,0,9
04/09/2021,84,30,41,11,1,5
05/09/2021,58,13,27,7,0,4
06/09/2021,23,31,59,11,0,4
07/09/2021,49,43,82,13,0,6
08/09/2021,77,50,55,15,0,7
09/09/2021,97,54,94,14,0,8
10/09/2021,105,67,101,14,1,9
11/09/2021,137,50,30,16,0,9
12/09/2021,82,36,44,16,0,8
13/09/2021,65,43,35,14,1,8
14/09/2021,67,47,50,16,0,7
15/09/2021,64,37,18,15,0,6
16/09/2021,61,27,44,13,0,4
17/09/2021,43,47,35,17,0,5
18/09/2021,70,31,29,10,1,6
19/09/2021,66,16,30,7,1,5
20/09/2021,26,16,37,10,0,4
21/09/2021,28,29,47,12,0,4
22/09/2021,41,52,61,20,1,6
23/09/2021,77,24,28,12,0,9
24/09/2021,65,27,39,10,1,6
25/09/2021,54,26,20,16,1,5
26/09/2021,58,28,44,13,1,5
27/09/2021,54,53,39,19,0,7
28/09/2021,83,47,41,15,0,5
29/09/2021,72,56,31,14,1,8
30/09/2021,93,30,30,11,0,4
01/04/2021,161,51,37,12,0,3
02/04/2021,94,28,35,12,0,2
03/04/2021,52,27,37,14,0,1
04/04/2021,28,61,43,18,1,3
05/04/2021,104,55,46,19,0,3
06/04/2021,98,70,43,22,1,4
07/04/2021,120,57,53,17,1,3
08/04/2021,94,61,41,18,3,5
09/04/2021,114,75,54,21,4,8
10/04/2021,153,70,50,14,1,4
11/04/2021,132,70,31,18,1,6
12/04/2021,108,27,35,6,0,1
13/04/2021,32,70,38,16,1,2
14/04/2021,97,245,38,13,3,3
15/04/2021,149,121,31,6,0,2
16/04/2021,111,34,34,8,0,1
17/04/2021,36,71,45,20,1,2
18/04/2021,91,100,73,22,1,5
19/04/2021,151,86,75,22,1,5
20/04/2021,126,62,47,24,0,5
21/04/2021,99,40,37,17,0,5
22/04/2021,101,36,42,14,0,4
23/04/2021,76,39,43,14,0,4
24/04/2021,80,56,46,16,0,5
25/04/2021,133,56,59,16,1,4
26/04/2021,110,83,36,13,0,3
27/04/2021,90,57,39,9,1,1
28/04/2021,54,63,39,15,0,2
29/04/2021,68,39,30,15,0,2
30/04/2021,60,33,32,13,0,2
01/05/2021,47,43,41,12,0,1
02/05/2021,51,64,61,13,2,4
03/05/2021,104,57,38,7,0,1
04/05/2021,56,79,49,10,0,2
05/05/2021,86,277,40,9,1,2
06/05/2021,168,129,40,5,1,2
07/05/2021,120,132,37,12,0,1
08/05/2021,122,56,53,21,1,4
09/05/2021,91,55,51,20,1,4
10/05/2021,81,44,72,14,1,6
11/05/2021,83,52,72,22,1,3
12/05/2021,62,65,55,19,3,9
13/05/2021,146,60,43,14,0,10
14/05/2021,115,36,30,9,0,4
15/05/2021,45,27,38,9,0,1
16/05/2021,16,47,49,19,0,3
17/05/2021,54,64,58,21,1,5
18/05/2021,82,65,93,12,2,5
19/05/2021,104,63,76,8,1,4
20/05/2021,115,64,101,11,0,6
21/05/2021,113,69,107,13,1,5
22/05/2021,91,136,34,7,0,1
23/05/2021,116,54,33,8,1,1
24/05/2021,62,70,66,7,1,2
25/05/2021,67,63,47,15,0,4
26/05/2021,63,52,36,16,1,4
27/05/2021,53,23,44,5,0,1
28/05/2021,20,40,57,9,0,2
29/05/2021,40,38,78,10,0,3
30/05/2021,66,47,34,13,0,10
31/05/2021,89,37,55,11,0,4
01/06/2021,57,51,39,17,1,6
02/06/2021,77,28,36,10,0,2
03/06/2021,19,33,38,10,0,2
04/06/2021,31,30,44,13,0,2
05/06/2021,43,46,79,13,1,3
06/06/2021,52,45,73,9,1,6
07/06/2021,74,51,113,9,1,7
08/06/2021,89,49,46,12,0,7
09/06/2021,86,25,73,8,0,3
10/06/2021,44,46,77,16,0,3
11/06/2021,59,72,133,18,1,5
12/06/2021,103,71,114,11,1,10
13/06/2021,118,30,40,7,1,9
14/06/2021,75,41,96,7,0,6
15/06/2021,77,34,30,10,0,6
16/06/2021,68,20,43,8,0,3
17/06/2021,40,27,38,11,1,2
18/06/2021,27,35,42,15,0,3
19/06/2021,39,30,48,13,0,2
20/06/2021,47,65,96,14,1,5
21/06/2021,73,38,91,10,1,4
22/06/2021,58,34,51,12,0,4
23/06/2021,71,47,80,18,0,5
24/06/2021,80,57,81,12,1,8
25/06/2021,107,43,69,8,2,6
26/06/2021,86,47,105,9,1,7
27/06/2021,83,47,97,10,0,7
28/06/2021,97,40,48,7,1,5
29/06/2021,84,29,88,5,0,5
30/06/2021,62,28,67,8,0,4
04/01/2021,55,30,21,11,1,3
05/01/2021,52,65,24,5,1,2
06/01/2021,54,31,25,7,1,5
07/01/2021,44,29,26,5,1,1
08/01/2021,40,36,29,7,1,1
09/01/2021,43,23,27,7,1,1
10/01/2021,38,55,25,11,2,2
11/01/2021,73,99,9,28,2,7
12/01/2021,124,184,28,16,1,5
13/01/2021,140,74,14,17,3,9
14/01/2021,133,97,30,10,1,4
15/01/2021,113,31,29,6,1,1
16/01/2021,45,49,21,10,1,2
17/01/2021,64,56,24,13,1,3
18/01/2021,68,49,17,15,1,5
19/01/2021,98,56,18,17,2,7
20/01/2021,139,74,9,31,3,11
21/01/2021,165,77,14,25,5,11
22/01/2021,154,68,14,27,2,11
23/01/2021,149,77,16,30,2,12
24/01/2021,173,89,2,37,0,14
25/01/2021,191,65,27,21,1,10
26/01/2021,161,58,28,21,2,8
27/01/2021,104,51,32,4,0,1
28/01/2021,41,55,15,19,1,5
29/01/2021,80,67,18,24,3,8
30/01/2021,118,64,14,14,1,9
31/01/2021,152,43,29,8,1,3
01/02/2021,62,38,26,8,1,3
02/02/2021,59,51,30,15,1,5
03/02/2021,70,58,25,17,2,5
04/02/2021,115,65,22,28,3,9
05/02/2021,142,88,34,16,2,5
06/02/2021,106,44,32,7,1,3
07/02/2021,80,45,31,15,1,4
08/02/2021,109,67,34,24,2,8
09/02/2021,161,70,44,23,4,10
10/02/2021,169,100,35,25,4,17
11/02/2021,239,139,50,17,5,15
12/02/2021,273,132,13,21,2,22
13/02/2021,259,133,35,12,0,13
14/02/2021,165,46,33,4,0,2
15/02/2021,46,34,34,1,1,1
16/02/2021,36,16,31,4,0,1
17/02/2021,39,36,24,13,2,5
18/02/2021,88,56,26,28,2,9
19/02/2021,130,75,22,34,2,10
20/02/2021,132,121,32,23,3,8
21/02/2021,146,57,35,9,2,3
22/02/2021,85,48,23,10,0,4
23/02/2021,83,47,24,15,1,7
24/02/2021,122,70,34,21,1,9
25/02/2021,166,93,46,25,2,13
26/02/2021,194,71,48,20,3,9
27/02/2021,180,83,23,25,1,9
28/02/2021,169,23,30,8,1,3
01/03/2021,77,66,17,10,0,6
02/03/2021,144,65,13,23,0,9
03/03/2021,184,96,16,28,0,12
04/03/2021,209,48,21,24,1,12
05/03/2021,179,47,22,13,1,4
06/03/2021,76,62,22,20,0,5
07/03/2021,135,67,25,29,1,7
08/03/2021,163,84,36,31,2,9
09/03/2021,201,0,41,38,2,12
10/03/2021,242,66,43,23,1,7
11/03/2021,180,0,26,20,0,8
12/03/2021,180,0,39,18,1,9
13/03/2021,183,100,24,31,0,9
14/03/2021,200,886,30,10,0,3
15/03/2021,301,142,29,10,0,3
16/03/2021,97,191,17,26,2,5
17/03/2021,150,96,27,19,2,6
18/03/2021,149,68,24,19,1,7
19/03/2021,155,68,32,10,0,4
20/03/2021,96,32,33,7,0,1
21/03/2021,37,148,32,16,1,2
22/03/2021,93,92,35,25,2,4
23/03/2021,121,119,37,20,1,3
24/03/2021,126,87,51,26,2,4
25/03/2021,132,115,11,50,1,10
26/03/2021,208,86,38,26,0,10
27/03/2021,206,539,35,13,0,5
28/03/2021,207,98,33,11,0,1
29/03/2021,71,167,41,23,2,4
30/03/2021,140,123,38,25,1,5
31/03/2021,129,115,47,26,5,11
01/10/2020,134,21,24,6,0,1
02/10/2020,29,40,31,15,3,4
03/10/2020,76,16,21,4,0,1
04/10/2020,26,18,25,10,0,1
05/10/2020,31,46,26,18,2,4
06/10/2020,86,72,28,29,2,8
07/10/2020,150,72,14,36,1,8
08/10/2020,164,84,40,37,1,9
09/10/2020,179,79,61,25,1,9
10/10/2020,197,25,25,12,0,4
11/10/2020,85,26,22,12,0,1
12/10/2020,41,39,28,16,1,2
13/10/2020,55,35,16,15,2,4
14/10/2020,41,58,15,23,1,7
15/10/2020,112,23,26,14,0,3
16/10/2020,58,48,24,20,1,3
17/10/2020,63,62,25,26,2,6
18/10/2020,96,70,25,29,1,9
19/10/2020,136,96,14,41,1,10
20/10/2020,191,107,25,13,0,3
21/10/2020,107,52,25,11,0,2
22/10/2020,48,29,27,12,0,2
23/10/2020,39,59,25,22,2,5
24/10/2020,92,97,23,39,3,9
25/10/2020,168,93,30,32,2,8
26/10/2020,160,43,24,11,1,2
27/10/2020,36,49,20,22,1,3
28/10/2020,64,70,15,30,1,6
29/10/2020,114,65,27,26,1,6
30/10/2020,142,149,21,27,0,5
31/10/2020,163,57,24,10,0,2
01/11/2020,58,46,23,10,0,2
02/11/2020,35,34,19,16,0,2
03/11/2020,49,72,6,33,2,7
04/11/2020,121,99,9,46,2,12
05/11/2020,176,98,25,35,0,9
06/11/2020,152,97,26,12,1,5
07/11/2020,90,36,20,13,1,3
08/11/2020,50,50,16,24,1,5
09/11/2020,77,65,13,29,2,8
10/11/2020,115,115,4,54,4,14
11/11/2020,193,86,22,35,2,10
12/11/2020,144,45,18,21,2,5
13/11/2020,67,74,2,33,1,9
14/11/2020,133,79,11,33,2,13
15/11/2020,170,88,9,36,4,16
16/11/2020,179,93,5,23,1,17
17/11/2020,182,0,16,15,0,11
18/11/2020,111,16,20,7,0,3
19/11/2020,41,20,23,10,0,2
20/11/2020,41,58,20,21,0,5
21/11/2020,93,15,21,5,0,2
22/11/2020,43,29,18,13,2,3
23/11/2020,55,42,11,24,2,4
24/11/2020,94,39,24,19,1,4
25/11/2020,81,37,13,23,1,6
26/11/2020,65,30,24,10,1,5
27/11/2020,61,25,21,11,0,1
28/11/2020,51,33,21,15,2,3
29/11/2020,64,32,19,14,1,2
30/11/2020,67,41,14,20,1,3
01/12/2020,85,37,24,14,2,3
02/12/2020,70,20,25,9,1,2
03/12/2020,42,18,24,9,2,2
04/12/2020,40,36,17,22,3,4
05/12/2020,79,53,23,20,2,5
06/12/2020,110,28,22,7,1,2
07/12/2020,40,37,14,21,3,5
08/12/2020,75,74,4,32,2,9
09/12/2020,137,78,5,37,2,12
10/12/2020,154,54,14,27,2,6
11/12/2020,99,78,21,29,2,13
12/12/2020,157,29,23,4,1,2
13/12/2020,43,26,20,9,1,3
14/12/2020,47,39,11,19,1,3
15/12/2020,60,40,17,16,2,3
16/12/2020,73,62,4,30,2,8
17/12/2020,117,27,25,9,2,2
18/12/2020,47,45,10,26,2,4
19/12/2020,83,43,23,22,3,5
20/12/2020,86,47,13,30,2,6
21/12/2020,100,66,7,35,2,8
22/12/2020,135,95,28,16,3,5
23/12/2020,111,55,25,13,1,2
24/12/2020,70,74,10,31,3,7
25/12/2020,113,80,4,30,5,12
26/12/2020,139,77,9,29,3,13
27/12/2020,156,69,26,17,4,8
28/12/2020,136,51,24,4,0,2
29/12/2020,39,32,24,6,0,2
30/12/2020,30,33,20,13,1,2
31/12/2020,47,58,7,28,2,4
01/01/2021,89,63,15,23,3,11
02/01/2021,140,32,16,18,1,2
03/01/2021,58,40,27,15,1,4
01/07/2020,86,38,83,6,1,7
02/07/2020,93,40,54,7,0,9
03/07/2020,131,42,87,8,1,5
04/07/2020,118,33,82,11,0,4
05/07/2020,77,30,97,7,1,4
06/07/2020,65,28,91,8,1,3
07/07/2020,57,46,100,10,2,6
08/07/2020,105,40,44,7,1,6
09/07/2020,98,51,47,9,0,7
10/07/2020,137,0,37,12,0,10
11/07/2020,169,77,72,13,1,11
12/07/2020,172,44,67,10,0,9
13/07/2020,132,44,77,10,0,6
14/07/2020,102,45,84,10,0,5
15/07/2020,110,55,98,9,0,6
16/07/2020,129,53,64,8,0,5
17/07/2020,129,41,46,7,0,6
18/07/2020,120,35,49,10,0,5
19/07/2020,92,59,116,15,1,7
20/07/2020,116,55,87,10,0,5
21/07/2020,100,52,107,13,2,7
22/07/2020,118,48,95,16,1,6
23/07/2020,101,38,96,12,0,4
24/07/2020,81,57,98,20,0,5
25/07/2020,86,32,50,7,0,4
26/07/2020,80,0,42,10,0,8
27/07/2020,150,21,63,12,0,10
28/07/2020,151,54,93,10,0,8
29/07/2020,151,47,83,11,1,7
30/07/2020,144,54,81,12,0,7
31/07/2020,120,40,62,13,0,7
01/08/2020,111,35,86,10,0,4
02/08/2020,64,37,91,10,0,4
03/08/2020,68,46,79,14,1,4
04/08/2020,72,59,37,16,0,7
05/08/2020,109,46,78,12,1,7
06/08/2020,106,34,73,9,1,6
07/08/2020,74,38,81,9,0,5
08/08/2020,74,38,87,7,0,4
09/08/2020,70,28,75,7,0,3
10/08/2020,59,53,106,9,0,5
11/08/2020,102,41,47,11,0,6
12/08/2020,100,24,53,6,0,6
13/08/2020,53,47,90,10,0,6
14/08/2020,96,51,44,11,0,6
15/08/2020,109,44,35,11,0,6
16/08/2020,115,43,34,11,0,7
17/08/2020,125,23,27,12,1,6
18/08/2020,90,23,23,11,0,3
19/08/2020,41,30,31,11,0,5
20/08/2020,72,42,64,11,0,5
21/08/2020,77,55,69,12,0,5
22/08/2020,112,61,71,11,0,7
23/08/2020,141,20,47,5,0,3
24/08/2020,42,47,97,16,0,4
25/08/2020,71,65,78,19,4,15
26/08/2020,137,50,50,14,1,9
27/08/2020,112,37,73,9,0,4
28/08/2020,62,66,73,16,0,8
29/08/2020,142,53,72,10,0,9
30/08/2020,135,31,21,11,0,4
31/08/2020,57,28,37,11,0,4
01/09/2020,52,30,31,9,0,3
02/09/2020,54,19,25,8,0,3
03/09/2020,32,38,42,15,0,4
04/09/2020,58,52,75,15,1,4
05/09/2020,84,74,115,18,2,10
06/09/2020,154,28,44,9,1,4
07/09/2020,64,18,28,12,0,2
08/09/2020,33,22,33,13,1,3
09/09/2020,37,20,20,10,0,2
10/09/2020,30,14,17,8,0,4
11/09/2020,27,21,33,8,0,4
12/09/2020,46,38,48,13,0,5
13/09/2020,78,49,41,10,0,5
14/09/2020,130,22,31,11,0,7
15/09/2020,101,18,21,6,0,2
16/09/2020,29,20,27,11,0,3
17/09/2020,30,25,29,16,1,4
18/09/2020,46,38,69,17,0,4
19/09/2020,57,27,40,12,0,3
20/09/2020,45,50,76,18,2,6
21/09/2020,112,43,36,18,1,5
22/09/2020,84,51,29,18,1,10
23/09/2020,114,26,47,13,0,6
24/09/2020,97,44,60,19,0,7
25/09/2020,122,60,81,21,0,7
26/09/2020,151,55,72,22,0,7
27/09/2020,155,70,73,22,1,8
28/09/2020,167,18,26,9,0,4
29/09/2020,62,30,23,13,0,3
30/09/2020,67,51,24,15,0,5
01/04/2020,35,35,35,10,1,2
02/04/2020,60,38,40,11,1,2
03/04/2020,63,113,38,5,1,2
04/04/2020,83,67,43,14,2,4
05/04/2020,86,93,55,26,3,5
06/04/2020,152,83,37,21,3,5
07/04/2020,126,53,33,15,3,4
08/04/2020,76,46,38,8,1,4
09/04/2020,103,47,53,11,0,3
10/04/2020,117,39,43,9,0,3
11/04/2020,79,45,44,6,0,1
12/04/2020,69,60,44,17,1,4
13/04/2020,88,81,82,23,3,5
14/04/2020,153,74,77,13,2,4
15/04/2020,151,66,43,5,0,3
16/04/2020,83,40,58,6,0,3
17/04/2020,80,43,56,10,0,2
18/04/2020,100,49,74,8,0,3
19/04/2020,122,30,38,2,0,1
20/04/2020,39,33,35,2,0,1
21/04/2020,40,22,36,2,0,1
22/04/2020,36,20,36,3,0,1
23/04/2020,35,98,41,6,0,1
24/04/2020,65,53,39,3,0,1
25/04/2020,55,32,40,11,0,2
26/04/2020,94,60,58,14,2,10
27/04/2020,141,82,100,18,3,6
28/04/2020,157,84,115,12,3,5
29/04/2020,150,93,142,25,5,9
30/04/2020,185,95,146,25,3,11
01/05/2020,189,65,101,8,1,5
02/05/2020,149,58,38,12,2,10
03/05/2020,143,49,21,11,2,6
04/05/2020,109,48,33,12,0,5
05/05/2020,150,53,92,15,1,6
06/05/2020,160,61,36,16,4,12
07/05/2020,160,26,40,8,0,8
08/05/2020,107,42,26,11,0,5
09/05/2020,100,52,35,9,0,4
10/05/2020,72,101,42,4,0,1
11/05/2020,54,87,43,5,0,1
12/05/2020,63,124,86,16,2,5
13/05/2020,108,70,91,11,1,5
14/05/2020,95,49,45,10,0,5
15/05/2020,115,55,29,13,0,6
16/05/2020,124,65,31,17,0,2
17/05/2020,66,42,36,5,0,1
18/05/2020,41,46,65,11,0,2
19/05/2020,68,42,109,10,1,4
20/05/2020,69,69,56,13,3,13
21/05/2020,163,41,73,9,0,8
22/05/2020,124,19,36,6,0,2
23/05/2020,26,21,53,9,1,2
24/05/2020,39,30,33,13,0,2
25/05/2020,43,22,50,9,0,2
26/05/2020,41,20,44,6,0,2
27/05/2020,34,60,100,18,2,7
28/05/2020,112,67,117,14,5,11
29/05/2020,150,60,87,12,3,9
30/05/2020,129,17,37,8,0,2
31/05/2020,56,54,90,17,1,4
01/06/2020,78,55,77,13,0,3
02/06/2020,80,154,85,18,0,3
03/06/2020,127,39,55,13,1,2
04/06/2020,42,36,81,7,2,4
05/06/2020,54,50,113,12,3,6
06/06/2020,80,71,146,13,3,6
07/06/2020,96,84,104,13,2,5
08/06/2020,134,72,55,10,3,7
09/06/2020,118,63,106,8,0,8
10/06/2020,139,67,94,16,1,7
11/06/2020,137,47,130,10,0,6
12/06/2020,97,71,107,15,1,7
13/06/2020,126,23,68,4,0,2
14/06/2020,31,47,84,11,0,2
15/06/2020,58,81,121,12,6,9
16/06/2020,110,57,75,6,1,3
17/06/2020,64,47,90,9,0,4
18/06/2020,81,44,100,7,0,3
19/06/2020,77,60,117,6,1,5
20/06/2020,108,57,106,8,1,4
21/06/2020,92,66,107,10,1,6
22/06/2020,129,54,103,9,1,7
23/06/2020,128,29,75,5,0,4
24/06/2020,70,39,72,9,0,6
25/06/2020,101,37,89,8,0,5
26/06/2020,90,63,121,11,1,9
27/06/2020,163,45,104,7,1,8
28/06/2020,133,39,53,12,0,5
29/06/2020,93,30,74,7,0,3
30/06/2020,63,53,115,14,0,5
01/01/2020,93,64,5,31,4,10
02/01/2020,132,51,9,32,3,11
03/01/2020,124,45,23,27,3,9
04/01/2020,98,63,5,32,5,12
05/01/2020,152,21,20,25,2,9
06/01/2020,149,19,23,11,2,3
07/01/2020,57,24,27,14,1,4
08/01/2020,63,32,16,24,2,6
09/01/2020,127,33,27,18,3,5
10/01/2020,83,20,22,12,1,2
11/01/2020,47,27,23,16,4,3
12/01/2020,67,22,27,7,2,3
13/01/2020,51,26,22,15,1,3
14/01/2020,62,54,11,28,4,8
15/01/2020,127,48,24,23,4,9
16/01/2020,107,73,10,34,7,14
17/01/2020,165,119,32,34,2,21
18/01/2020,251,58,28,10,1,4
19/01/2020,94,26,26,8,1,2
20/01/2020,40,54,19,20,4,8
21/01/2020,132,60,16,25,5,10
22/01/2020,158,51,31,18,3,9
23/01/2020,126,62,32,8,3,5
24/01/2020,154,99,30,14,4,8
25/01/2020,206,108,31,20,7,15
26/01/2020,231,0,32,20,8,19
27/01/2020,235,0,48,21,7,19
28/01/2020,245,38,33,16,5,11
29/01/2020,154,50,35,15,3,8
30/01/2020,133,41,33,16,2,8
31/01/2020,120,14,31,3,0,2
01/02/2020,30,25,28,4,0,3
02/02/2020,85,24,29,6,0,2
03/02/2020,79,19,29,6,1,2
04/02/2020,38,33,20,10,1,5
05/02/2020,87,31,15,10,2,9
06/02/2020,119,2,16,15,1,9
07/02/2020,160,24,30,16,3,9
08/02/2020,127,0,23,22,1,12
09/02/2020,193,0,35,25,1,13
10/02/2020,195,0,41,28,5,22
11/02/2020,244,0,50,27,2,22
12/02/2020,253,0,17,27,1,21
13/02/2020,261,0,26,7,0,8
14/02/2020,112,11,30,2,0,1
15/02/2020,29,7,31,2,0,1
16/02/2020,18,12,31,5,0,1
17/02/2020,27,21,28,17,1,2
18/02/2020,55,32,28,20,4,9
19/02/2020,126,0,28,12,4,11
20/02/2020,176,84,34,11,1,6
21/02/2020,135,14,34,4,0,1
22/02/2020,25,47,22,18,1,5
23/02/2020,110,73,27,17,4,9
24/02/2020,150,60,30,11,5,7
25/02/2020,127,36,37,8,2,3
26/02/2020,94,31,25,11,1,3
27/02/2020,79,45,34,11,0,4
28/02/2020,138,0,9,15,0,11
29/02/2020,167,16,30,10,0,9
01/03/2020,72,25,28,13,1,4
02/03/2020,80,15,29,6,1,4
03/03/2020,99,15,31,4,1,1
04/03/2020,47,44,35,12,1,4
05/03/2020,110,67,27,22,2,7
06/03/2020,168,43,39,9,1,5
07/03/2020,135,0,19,13,1,9
08/03/2020,171,28,28,12,1,7
09/03/2020,129,30,32,8,1,2
10/03/2020,52,45,25,22,2,4
11/03/2020,92,38,34,14,2,5
12/03/2020,74,22,32,6,0,2
13/03/2020,42,35,35,5,1,1
14/03/2020,36,32,37,4,0,1
15/03/2020,34,60,32,10,1,3
16/03/2020,87,55,42,17,1,5
17/03/2020,100,108,35,18,2,6
18/03/2020,119,47,37,3,0,2
19/03/2020,39,60,34,17,2,3
20/03/2020,94,73,38,10,4,3
21/03/2020,86,60,47,10,2,3
22/03/2020,98,58,36,16,2,3
23/03/2020,102,57,40,18,7,8
24/03/2020,121,73,54,27,6,9
25/03/2020,192,25,31,4,1,3
26/03/2020,39,25,33,4,1,2
27/03/2020,17,26,32,8,0,1
28/03/2020,37,63,42,17,3,4
29/03/2020,122,69,42,16,3,6
30/03/2020,156,62,45,12,2,3
31/03/2020,151,21,35,4,0,1
01/10/2019,128,60,82,11,2,9
02/10/2019,140,69,116,14,1,7
03/10/2019,148,29,22,5,0,3
04/10/2019,46,16,30,8,1,1
05/10/2019,31,37,19,17,0,3
06/10/2019,80,54,31,18,0,5
07/10/2019,127,25,26,9,1,1
08/10/2019,34,55,35,21,2,5
09/10/2019,94,46,23,14,0,5
10/10/2019,131,50,17,21,2,7
11/10/2019,114,63,6,27,12,14
12/10/2019,95,49,8,20,3,8
13/10/2019,80,19,23,11,1,2
14/10/2019,42,33,19,18,1,3
15/10/2019,66,40,13,21,1,5
16/10/2019,89,52,3,24,0,8
17/10/2019,154,0,25,20,1,7
18/10/2019,156,67,15,33,1,12
19/10/2019,201,100,25,22,1,8
20/10/2019,154,46,18,20,1,4
21/10/2019,63,82,19,32,2,10
22/10/2019,124,93,38,37,2,11
23/10/2019,166,75,17,32,1,12
24/10/2019,163,19,21,11,0,4
25/10/2019,71,50,16,23,2,6
26/10/2019,98,69,17,28,2,7
27/10/2019,145,148,23,11,1,2
28/10/2019,90,71,20,26,2,6
29/10/2019,104,86,10,37,2,8
30/10/2019,153,72,31,32,2,12
31/10/2019,121,59,17,24,4,8
01/11/2019,90,46,13,24,1,6
02/11/2019,82,48,14,16,2,5
03/11/2019,97,59,15,24,1,8
04/11/2019,139,52,17,20,2,7
05/11/2019,118,62,6,30,1,7
06/11/2019,119,44,18,18,2,5
07/11/2019,82,66,11,28,2,8
08/11/2019,121,71,12,34,2,11
09/11/2019,162,77,24,12,0,5
10/11/2019,99,49,22,20,1,5
11/11/2019,69,73,9,36,4,9
12/11/2019,143,52,25,6,0,2
13/11/2019,47,53,10,24,3,6
14/11/2019,87,62,9,23,3,8
15/11/2019,101,67,5,23,6,12
16/11/2019,135,142,21,17,4,9
17/11/2019,139,76,21,8,1,2
18/11/2019,71,51,22,13,1,4
19/11/2019,71,91,5,36,5,10
20/11/2019,156,109,1,38,6,16
21/11/2019,173,117,1,44,7,24
22/11/2019,198,103,24,34,5,16
23/11/2019,197,30,26,5,1,2
24/11/2019,42,28,12,14,2,3
25/11/2019,55,66,3,30,4,8
26/11/2019,125,23,22,14,2,2
27/11/2019,36,67,5,30,7,9
28/11/2019,125,65,4,30,5,9
29/11/2019,143,22,24,14,2,5
30/11/2019,121,29,24,8,2,3
01/12/2019,52,24,21,11,1,2
02/12/2019,43,42,27,21,2,4
03/12/2019,63,31,27,18,2,3
04/12/2019,53,38,23,19,3,6
05/12/2019,76,64,8,28,2,9
06/12/2019,131,60,11,30,2,8
07/12/2019,137,104,2,36,2,16
08/12/2019,212,125,4,41,1,19
09/12/2019,237,90,22,25,1,14
10/12/2019,154,18,22,13,0,2
11/12/2019,37,35,14,21,1,6
12/12/2019,65,47,25,20,3,8
13/12/2019,82,26,16,22,1,4
14/12/2019,61,66,2,33,6,13
15/12/2019,145,60,2,31,1,13
16/12/2019,160,19,22,5,1,2
17/12/2019,45,27,13,19,0,4
18/12/2019,64,26,21,10,1,3
19/12/2019,52,35,9,26,1,5
20/12/2019,64,56,6,30,3,9
21/12/2019,130,69,19,35,5,13
22/12/2019,157,47,17,20,2,9
23/12/2019,108,65,9,25,2,11
24/12/2019,164,51,18,19,2,10
25/12/2019,128,42,20,14,1,3
26/12/2019,61,73,6,31,2,9
27/12/2019,117,85,4,34,6,15
28/12/2019,152,82,24,30,4,15
29/12/2019,156,0,0,0,0,0
01/07/2019,34,60,74,15,1,5
02/07/2019,83,39,99,14,0,5
03/07/2019,87,64,123,23,2,5
04/07/2019,116,54,51,18,0,5
05/07/2019,95,15,27,7,0,2
06/07/2019,34,21,51,8,0,5
07/07/2019,53,34,81,13,0,4
08/07/2019,86,50,39,21,0,5
09/07/2019,99,50,72,13,2,9
10/07/2019,153,37,78,10,1,4
11/07/2019,87,45,113,13,1,4
12/07/2019,78,73,113,18,2,9
13/07/2019,154,33,95,8,1,4
14/07/2019,61,64,120,13,1,8
15/07/2019,149,49,82,14,1,8
16/07/2019,102,42,24,17,0,7
17/07/2019,137,64,101,12,0,9
18/07/2019,157,59,60,14,0,7
19/07/2019,143,56,41,15,0,6
20/07/2019,139,65,116,13,0,8
21/07/2019,153,90,45,25,0,11
22/07/2019,168,38,85,8,0,5
23/07/2019,86,60,100,15,0,7
24/07/2019,89,53,105,17,0,5
25/07/2019,70,58,123,11,0,6
26/07/2019,103,75,124,14,2,8
27/07/2019,163,53,94,7,1,8
28/07/2019,137,15,38,10,1,4
29/07/2019,51,44,90,9,0,6
30/07/2019,91,42,115,14,1,5
31/07/2019,72,54,117,10,0,6
01/08/2019,84,44,65,11,1,7
02/08/2019,94,44,97,14,1,6
03/08/2019,112,48,56,14,0,8
04/08/2019,115,36,44,11,1,7
05/08/2019,107,53,71,13,1,6
06/08/2019,132,32,88,11,1,5
07/08/2019,72,50,98,17,0,7
08/08/2019,110,49,65,9,1,6
09/08/2019,118,29,51,12,1,6
10/08/2019,82,22,14,11,0,5
11/08/2019,56,22,32,8,0,3
12/08/2019,32,19,36,9,0,3
13/08/2019,26,31,40,15,0,4
14/08/2019,82,46,97,17,0,5
15/08/2019,63,22,33,7,0,2
16/08/2019,30,26,36,12,0,2
17/08/2019,38,47,79,16,0,4
18/08/2019,59,68,106,18,1,7
19/08/2019,110,59,38,16,1,7
20/08/2019,125,29,44,12,0,5
21/08/2019,94,34,38,18,1,5
22/08/2019,58,32,37,17,0,4
23/08/2019,45,46,79,16,0,4
24/08/2019,61,48,74,16,1,6
25/08/2019,81,74,57,18,1,8
26/08/2019,165,42,42,18,0,5
27/08/2019,81,24,29,8,0,1
28/08/2019,19,15,32,6,0,1
